onetsoccode,occupation_title,median_annual_wage_2024,mean_annual_wage_2024,total_employment_2024,observed_exposure,pss,pred_productivity_effect,expertise_percentile,"Employment Percent Change, 2024-2034"
31-1132,Orderlies,37700.0,40070.0,53020.0,0.0,0.04059553146362305,0.0,8.066022872924805,3.3
31-1133,Psychiatric Aides,41590.0,43610.0,34900.0,0.0,0.05622828006744385,0.08052276819944382,33.70684814453125,-0.4
31-2011,Occupational Therapy Assistants,68340.0,68540.0,47910.0,0.0,0.22036594152450562,0.0977775976061821,72.69281005859375,19.2
31-2012,Occupational Therapy Aides,37370.0,41850.0,5000.0,0.0661,0.12505799531936646,0.13023741543293,52.55030822753906,2.5
31-2021,Physical Therapist Assistants,65510.0,67160.0,108010.0,0.0,0.1145814061164856,0.09361369162797928,52.60652160644531,22.0
31-2022,Physical Therapist Aides,34520.0,35510.0,44010.0,0.0,0.16634422540664673,0.0955209881067276,46.254981994628906,2.8
31-9011,Massage Therapists,57950.0,63430.0,96040.0,0.0,0.0657660961151123,0.0435236319899559,61.57242202758789,15.4
31-9091,Dental Assistants,47300.0,48860.0,375430.0,0.0,0.15160304307937622,0.16717976331710815,44.523475646972656,6.4
31-9092,Medical Assistants,44200.0,44720.0,793460.0,0.0476,0.0779539942741394,0.2148670256137848,47.778831481933594,12.5
31-9093,Medical Equipment Preparers,46490.0,48990.0,72760.0,0.0,0.1951608657836914,0.06032075360417366,23.84874153137207,10.0
31-9094,Medical Transcriptionists,37550.0,39210.0,43070.0,0.6365,0.1411672830581665,0.435346394777298,44.256412506103516,-4.9
31-9095,Pharmacy Aides,37000.0,40290.0,41100.0,0.022,0.39535415172576904,0.24836063385009766,47.816253662109375,-0.1
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,37320.0,38990.0,114190.0,0.0179,0.03652656078338623,0.12882252037525177,47.88665771484375,8.7
31-9097,Phlebotomists,43660.0,44390.0,138880.0,0.0,0.12785446643829346,0.07628762722015381,40.97349548339844,5.6
31-9099,Speech-Language Pathology Assistants,46050.0,48760.0,103650.0,0.0,0.23756742477416992,0.34926119446754456,66.28132629394531,3.5
31-9099,Endoscopy Technicians,46050.0,48760.0,103650.0,0.0,0.20049220323562622,0.007310965098440647,54.433135986328125,3.5
33-1011,First-Line Supervisors of Correctional Officers,76310.0,82260.0,53390.0,0.0315,-0.009228348731994629,0.13699868321418762,42.01300811767578,-2.8
33-1012,First-Line Supervisors of Police and Detectives,105980.0,110990.0,153130.0,0.0,0.10535717010498047,0.17903399467468262,54.34742736816406,2.9
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,92430.0,97030.0,93680.0,0.0,0.149583637714386,0.16235674917697906,62.60951614379883,3.4
33-1091,First-Line Supervisors of Security Workers,58610.0,62990.0,70310.0,,0.059787869453430176,,35.46870803833008,2.7
33-2011,Firefighters,59530.0,63890.0,332240.0,0.0,-0.0013374090194702148,0.07192666828632355,41.14642333984375,3.4
33-2021,Fire Inspectors and Investigators,78060.0,87440.0,14050.0,0.0,0.11235719919204712,0.14552545547485352,63.28986740112305,3.8
33-2022,Forest Fire Inspectors and Prevention Specialists,52380.0,61820.0,2780.0,0.0,0.01948678493499756,0.16952233016490936,43.188941955566406,14.6
33-3011,Bailiffs,57050.0,62180.0,16910.0,0.0,0.007757902145385742,0.04400848224759102,30.199790954589844,-2.2
33-3012,Correctional Officers and Jailers,57970.0,62760.0,365380.0,0.0,4.500150680541992e-05,0.11641711741685867,31.477291107177734,-7.8
33-3021,Detectives and Criminal Investigators,93580.0,98770.0,110790.0,0.0374,0.10352611541748047,0.23571065068244934,52.66419219970703,-0.7
33-3021,Police Identification and Records Officers,93580.0,98770.0,110790.0,0.0374,0.06325376033782959,0.18621307611465454,51.537479400634766,-0.7
33-3021,Intelligence Analysts,93580.0,98770.0,110790.0,0.0374,0.1960727572441101,0.2627616226673126,73.86497497558594,-0.7
33-3031,Fish and Game Wardens,68180.0,67990.0,6420.0,0.0,0.14052808284759521,0.1001274585723877,72.0864028930664,-6.0
33-3041,Parking Enforcement Workers,47150.0,51840.0,7770.0,0.0,0.13945823907852173,0.18744976818561554,18.117868423461914,-1.5
33-3051,Police and Sheriff's Patrol Officers,76290.0,79320.0,666990.0,0.1234,0.003824770450592041,0.11047632247209549,49.87920379638672,3.1
33-3051,Customs and Border Protection Officers,76290.0,79320.0,666990.0,0.1234,-0.014145985245704651,0.29991698265075684,82.2551040649414,3.1
33-3052,Transit and Railroad Police,82320.0,91820.0,3000.0,0.0,0.16253459453582764,0.1327156126499176,49.53205490112305,3.0
33-9011,Animal Control Workers,45830.0,49240.0,11790.0,0.0,0.030466914176940918,0.18682977557182312,60.278682708740234,3.9
33-9021,Private Detectives and Investigators,52370.0,61680.0,38700.0,0.0,0.07135343551635742,0.26882076263427734,53.380672454833984,6.0
33-9031,Gambling Surveillance Officers and Gambling Investigators,43900.0,46710.0,10000.0,0.0,0.019301772117614746,0.24666662514209747,29.67593765258789,0.3
33-9032,Security Guards,38370.0,42890.0,1241770.0,0.0,0.0983019471168518,0.09234990179538727,23.810869216918945,0.4
33-9091,Crossing Guards and Flaggers,37700.0,42910.0,90180.0,0.0,0.15133905410766602,0.035912659019231796,19.350873947143555,3.6
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33720.0,34700.0,143590.0,0.0,0.0514795184135437,0.046980492770671844,33.230804443359375,5.8
33-9093,Transportation Security Screeners,63360.0,61840.0,46340.0,0.0,0.14245861768722534,0.15970665216445923,23.16455841064453,-6.0
33-9094,School Bus Monitors,34980.0,35270.0,72140.0,,0.0,,22.97988510131836,-2.7
33-9099,Retail Loss Prevention Specialists,41600.0,48210.0,83110.0,0.0571,0.05881136655807495,0.19530826807022095,44.57200622558594,2.5
35-1011,Chefs and Head Cooks,60990.0,64720.0,182320.0,0.0,0.12235867977142334,0.08638126403093338,50.590450286865234,7.1
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,42010.0,44900.0,1187460.0,0.0564,0.17166340351104736,0.24429219961166382,48.865150451660156,6.0
35-2011,"Cooks, Fast Food",30160.0,31140.0,668230.0,0.0,0.03918015956878662,0.0,12.198853492736816,-13.5
35-2012,"Cooks, Institution and Cafeteria",36450.0,37310.0,448260.0,0.0,0.07045847177505493,0.04962387681007385,29.986894607543945,2.0
35-2013,"Cooks, Private Household",44530.0,51290.0,900.0,0.0,0.12643373012542725,0.08928029984235764,52.6933479309082,5.1
35-2014,"Cooks, Restaurant",36830.0,37730.0,1452130.0,0.0116,0.08245128393173218,0.025444772094488144,35.13971710205078,14.9
35-2015,"Cooks, Short Order",35620.0,35660.0,150420.0,0.0,0.15229839086532593,0.0,19.561046600341797,-5.6
35-2021,Food Preparation Workers,34220.0,33940.0,888770.0,0.0,0.01600193977355957,0.023714780807495117,1.8792271614074707,-3.4
35-3011,Bartenders,33530.0,39880.0,745610.0,0.0,0.09690868854522705,0.05192582681775093,13.85534381866455,5.9
35-3023,Fast Food and Counter Workers,30480.0,31350.0,3780930.0,0.0,0.10044372081756592,0.03975460305809975,18.113821029663086,6.1
35-3023,Baristas,30480.0,31350.0,3780930.0,0.0,0.03639054298400879,0.06758607178926468,3.8845479488372803,6.1
35-3031,Waiters and Waitresses,33760.0,38360.0,2302690.0,0.0,0.09263169765472412,0.0958663821220398,9.58259105682373,-0.7
35-3041,"Food Servers, Nonrestaurant",34460.0,35030.0,271780.0,0.0,0.007239401340484619,0.07952193170785904,1.1036038398742676,3.0
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,32670.0,34190.0,522010.0,0.0,0.0013585090637207031,0.0,0.5171895027160645,6.3
35-9021,Dishwashers,33670.0,33220.0,471670.0,0.0,0.0,0.0,0.24549365043640137,0.2
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",30380.0,32030.0,427150.0,0.0734,0.0992133617401123,0.10460596531629562,19.78336524963379,-1.5
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,47520.0,51170.0,174660.0,0.0436,0.1606387495994568,0.09842037409543991,46.345882415771484,2.5
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",56170.0,59380.0,124130.0,0.1083,0.033229827880859375,0.1541481614112854,50.65505599975586,2.3
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",35930.0,37460.0,2199900.0,0.0,0.07133322954177856,0.0,8.03842544555664,2.0
37-2012,Maids and Housekeeping Cleaners,34660.0,36180.0,854910.0,0.0,0.00663381814956665,0.0,0.9621500968933105,0.4
37-2021,Pest Control Workers,44730.0,45800.0,96110.0,0.046,0.0886087417602539,0.1781543642282486,28.134048461914062,4.9
37-3011,Landscaping and Groundskeeping Workers,38090.0,40880.0,943430.0,0.0,0.053013384342193604,0.011795979924499989,24.57831573486328,3.6
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",45200.0,45960.0,25200.0,0.0,0.05005288124084473,0.03895637020468712,23.12557601928711,3.8
37-3013,Tree Trimmers and Pruners,50430.0,54970.0,47870.0,0.0,0.04634791612625122,0.019988492131233215,38.812286376953125,3.3
39-1013,First-Line Supervisors of Gambling Services Workers,61590.0,62600.0,25530.0,0.0,0.10678893327713013,0.2086622565984726,30.147844314575195,2.0
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",46900.0,51400.0,92830.0,0.0443,0.05779165029525757,,33.82707977294922,6.3
39-1022,First-Line Supervisors of Personal Service Workers,47080.0,50920.0,107060.0,0.0407,0.07736706733703613,0.17144308984279633,38.39279556274414,6.7
39-2011,Animal Trainers,38750.0,45780.0,20110.0,0.0,0.045111775398254395,0.018277300521731377,62.544769287109375,5.1
39-2021,Animal Caretakers,33470.0,34750.0,277300.0,0.0,0.06635230779647827,0.14458619058132172,34.38370132446289,12.1
39-3011,Gambling Dealers,33280.0,40420.0,82980.0,0.0,0.13990825414657593,0.05477740243077278,18.18317222595215,-0.6
39-3012,Gambling and Sports Book Writers and Runners,30460.0,32570.0,7600.0,0.0,0.03889399766921997,0.10983238369226456,8.06998062133789,-6.1
39-3021,Motion Picture Projectionists,38180.0,50290.0,1950.0,0.0,0.18646103143692017,0.11493591219186783,22.942340850830078,-3.7
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",31150.0,31770.0,119210.0,0.0,0.03784823417663574,0.062199853360652924,4.1400909423828125,1.2
39-3091,Amusement and Recreation Attendants,30490.0,31350.0,371590.0,0.0619,0.004506051540374756,0.11280886828899384,4.631185531616211,3.4
39-3092,Costume Attendants,54810.0,65890.0,6290.0,0.0,0.11322247982025146,0.12100817263126373,44.575286865234375,5.9
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",34800.0,36490.0,14960.0,0.0,0.03682655096054077,0.02670746110379696,4.161864280700684,6.4
39-4011,Embalmers,56280.0,57520.0,3420.0,0.0,0.019863605499267578,0.03350949287414551,48.22199249267578,1.3
39-4012,Crematory Operators,42880.0,44790.0,2950.0,,0.003961324691772461,,30.535816192626953,3.3
39-4021,Funeral Attendants,34610.0,35900.0,30560.0,0.0,0.03952842950820923,0.09185121953487396,28.29161262512207,3.1
39-4031,"Morticians, Undertakers, and Funeral Arrangers",49800.0,56340.0,25700.0,0.0,0.022805392742156982,0.12123586237430573,43.5699348449707,3.1
39-5011,Barbers,38960.0,47800.0,18100.0,0.0,0.0733218789100647,0.04221833124756813,33.29496383666992,4.1
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",35250.0,43460.0,295460.0,0.0304,0.15534651279449463,0.0505269318819046,41.49436950683594,5.6
39-5091,"Makeup Artists, Theatrical and Performance",50280.0,75410.0,3320.0,0.0,0.14025241136550903,0.14260832965373993,61.07422637939453,8.1
39-5092,Manicurists and Pedicurists,34660.0,36910.0,147820.0,0.0,0.1346920132637024,0.04538094252347946,23.101543426513672,7.0
39-5093,Shampooers,31470.0,30830.0,8890.0,0.0,0.09629619121551514,0.09067156910896301,33.688690185546875,5.5
39-5094,Skincare Specialists,41560.0,48670.0,70240.0,0.0,0.12682414054870605,0.07799685001373291,42.08663558959961,6.7
39-6011,Baggage Porters and Bellhops,36020.0,36960.0,31220.0,0.073,0.0016304254531860352,0.0626598596572876,4.332655906677246,-1.6
39-6012,Concierges,37320.0,40770.0,44200.0,0.1875,0.11023098230361938,0.21831797063350677,19.303936004638672,2.3
39-7011,Tour Guides and Escorts,,,,,,0.1132168173789978,,
39-7012,Travel Guides,,,,,,0.1585383415222168,,
39-9011,Childcare Workers,32050.0,33140.0,520180.0,0.0122,0.07664531469345093,0.06202654540538788,39.236915588378906,-2.9
39-9011,Nannies,32050.0,33140.0,520180.0,0.0122,0.09221267700195312,0.034573353826999664,28.863203048706055,-2.9
39-9031,Exercise Trainers and Group Fitness Instructors,46180.0,51360.0,303620.0,0.0,0.1308029294013977,0.008789876475930214,54.2365837097168,11.9
39-9032,Recreation Workers,35380.0,37170.0,309640.0,0.0,0.21860337257385254,0.13603521883487701,53.563453674316406,4.1
39-9041,Residential Advisors,39180.0,41590.0,82810.0,0.067,0.0700194239616394,0.12200010567903519,49.487335205078125,3.8
41-1011,First-Line Supervisors of Retail Sales Workers,47320.0,52350.0,1113160.0,0.2627,0.10969680547714233,0.24235239624977112,45.15465545654297,-5.0
41-1012,First-Line Supervisors of Non-Retail Sales Workers,84130.0,97870.0,219010.0,0.2295,0.11316537857055664,0.26220184564590454,41.972625732421875,0.0
